Team,Airline,Departure_Time,Arrival_Time,Price
CAR,UnitedOperated by Republic Airways DBA United Express,07:26 AM,10:41 AM,808
CAR,American,08:05 AM,11:11 AM,808
CAR,American,09:45 AM,12:50 PM,808
CAR,Spirit,05:00 AM,03:31 PM,434
CAR,Frontier,04:21 PM,10:12 AM +1,626
CAR,Spirit,11:12 AM,07:45 PM,710
CAR,American,05:02 AM,08:08 AM,808
CAR,American,07:00 AM,10:01 AM,808
CAR,American,12:15 PM,03:17 PM,808
CAR,American,01:54 PM,04:55 PM,808
CAR,United,02:15 PM,05:23 PM,808
CAR,American,04:10 PM,07:15 PM,808
CAR,United,06:35 PM,09:45 PM,808
CAR,American,06:39 PM,09:55 PM,808
CAR,Delta,03:20 PM,08:33 PM,916
NO,Spirit,08:55 PM,06:10 AM +1,466
NO,AmericanOperated by Republic Airways as American Eagle,08:20 PM,11:00 PM,1088
NO,UnitedOperated by Republic Airways DBA United Express,12:45 PM,03:27 PM,1222
NO,Spirit,01:24 PM,12:27 AM +1,506
NO,Spirit,05:10 AM,09:08 PM,593
NO,United,09:46 PM,02:57 PM +1,942
NO,Delta,07:05 AM,11:44 AM,1056
NO,American,05:02 AM,10:05 AM,1107
NO,American,09:45 AM,02:37 PM,1107
NO,United,08:05 PM,10:41 PM,1222
NO,AmericanOperated by Republic Airways as American Eagle,10:25 AM,01:04 PM,1348
NO,UnitedOperated by Republic Airways DBA United Express,07:04 AM,09:45 AM,1350
TB,Spirit,07:00 AM,10:48 AM,482
TB,Spirit,07:53 PM,11:48 PM,482
TB,Frontier,04:45 PM,08:38 PM,491
TB,Spirit,05:11 PM,11:47 PM,658
TB,American,08:00 AM,11:45 AM,1232
TB,American,12:50 PM,04:36 PM,1232
TB,American,03:30 PM,07:12 PM,1232
TB,United,06:10 AM,09:59 AM,1282
TB,United,07:40 AM,11:33 AM,1282
TB,United,11:20 AM,03:14 PM,1282
TB,United,02:03 PM,05:54 PM,1282
TB,United,06:08 PM,10:00 PM,1282
NYG,JetBlue,10:11 AM,01:29 PM,544
NYG,American,04:43 PM,07:57 PM,544
NYG,DeltaOperated by SkyWest DBA Delta Connection,08:15 AM,11:41 AM,654
NYG,"AmericanOperated by Republic Airways as American Eagle, Republic Airways as American Eagle",08:15 AM,02:10 PM,533
NYG,"AmericanOperated by Republic Airways as American Eagle, Republic Airways as American Eagle",08:50 AM,04:59 PM,533
NYG,American,01:54 PM,08:00 PM,533
NYG,American,04:10 PM,09:50 PM,533
NYG,"AmericanOperated by Piedmont Airlines as American Eagle, Republic Airways as American Eagle",08:10 AM,12:55 PM,672
NYG,DeltaOperated by Republic Airways Delta Connection,06:20 PM,10:01 PM,690
NYG,DeltaOperated by Republic Airways Delta Connection,01:25 PM,04:49 PM,774
NYG,AmericanOperated by Republic Airways as American Eagle,11:45 AM,02:59 PM,874
DAL,Spirit,09:35 PM,12:15 AM +1,360
DAL,Frontier,06:10 AM,11:22 AM,385
DAL,Frontier,03:13 PM,05:55 PM,504
DAL,Spirit,06:15 AM,07:09 PM,460
DAL,American,05:00 AM,07:47 AM,855
DAL,American,06:00 AM,08:48 AM,855
DAL,American,07:09 AM,09:57 AM,855
DAL,American,08:20 AM,11:09 AM,855
DAL,United,10:55 AM,01:43 PM,855
DAL,American,11:10 AM,02:00 PM,855
DAL,American,11:56 AM,02:41 PM,855
DAL,American,01:15 PM,03:55 PM,855
DAL,United,01:40 PM,04:27 PM,855
DAL,American,03:23 PM,06:04 PM,855
DAL,American,04:55 PM,07:40 PM,855
DAL,American,06:35 PM,09:40 PM,855
DAL,United,08:00 PM,10:44 PM,855
DAL,American,08:35 PM,11:41 PM,855
DAL,Southwest,07:30 AM,10:05 AM,935
DAL,Southwest,06:55 PM,09:40 PM,935
WAS,American,06:00 AM,08:55 AM,756
WAS,American,08:05 AM,10:59 AM,756
WAS,American,01:33 PM,04:29 PM,756
WAS,American,07:29 PM,10:30 PM,756
WAS,United,06:40 AM,09:42 AM,888
WAS,"AmericanOperated by Republic Airways as American Eagle, Republic Airways as American Eagle",08:30 PM,07:44 AM +1,720
WAS,Frontier,04:21 PM,12:08 PM +1,726
WAS,United,09:05 PM,11:59 PM,888
WAS,DeltaOperated by SkyWest DBA Delta Connection,07:00 AM,11:36 AM,900
WAS,United,07:29 AM,10:31 AM,994
WAS,UnitedOperated by Republic Airways DBA United Express,02:55 PM,05:59 PM,994
WAS,UnitedOperated by Republic Airways DBA United Express,07:40 PM,10:47 PM,994
WAS,American,04:05 PM,06:59 PM,1016
WAS,United,11:15 AM,02:15 PM,1168
WAS,United,06:00 PM,08:59 PM,1302
WAS,United,02:00 PM,04:59 PM,1334
PHI,American,09:55 AM,01:01 PM,1001
PHI,American,11:33 AM,02:36 PM,1001
PHI,United,11:15 AM,02:19 PM,1108
PHI,Frontier,10:49 AM,07:32 AM +1,474
PHI,AmericanOperated by Republic Airways as American Eagle,08:30 PM,09:37 AM +1,923
PHI,Southwest,12:15 PM,05:35 PM,949
PHI,American,02:53 PM,05:55 PM,1001
PHI,American,04:55 PM,07:56 PM,1001
PHI,American,05:42 PM,08:42 PM,1001
PHI,United,02:30 PM,05:36 PM,1108
PHI,United,06:30 PM,09:40 PM,1108
