Team,Name,Price,Rating,Room Type
CAR,Home2 Suites By Hilton Charlotte Uptown,318,8.9,1 queen bed
CAR,Hilton Garden Inn Charlotte Uptown,290,8.1,2 queen beds
CAR,Hampton Inn Charlotte Uptown,299,7.9,2 queen beds
CAR,Hilton Charlotte Uptown,316,8.8,2 queen beds
CAR,Drury Inn & Suites Charlotte Northlake,217,9.0,2 queen beds
CAR,Courtyard by Marriott Charlotte Ballantyne,211,8.7,2 queen beds
CAR,Embassy Suites Charlotte,318,7.9,Private suite•2 bedrooms•301 ft²2 queen beds
CAR,SpringHill Suites by Marriott Charlotte Ballantyne,202,8.6,"Entire studio•1 bathroom•377 ft²2 beds (1 sofa bed, 1 queen)"
CAR,AC Hotel by Marriott Charlotte Ballantyne,270,9.1,2 queen beds
CAR,Hampton Inn Charlotte University Place,216,7.5,1 queen bed
CAR,Hilton Garden Inn Charlotte Waverly,237,9.2,2 queen beds
CAR,"Holiday Inn Express & Suites Charlotte Southwest, an IHG Hotel",202,8.7,2 queen beds
CAR,"Hampton Inn & Suites Charlotte/Ballantyne, Nc",214,8.4,2 queen beds
CAR,Hampton Inn & Suites South Park at Phillips Place,327,9.0,2 queen beds
CAR,DoubleTree Suites by Hilton Charlotte/SouthPark,337,8.6,Private suite•2 bedrooms•700 ft²2 queen beds
CAR,Hampton Inn & Suites Charlotte Arrowood Rd,228,7.8,2 queen beds
LAR,Hotel Aventura,323,8.4,1 queen bed
LAR,Sonder The Craftsman,463,8.9,"Entire studio•1 bathroom•1 kitchen•474 ft²2 beds (1 sofa bed, 1 queen)"
LAR,Hampton Inn Los Angeles Int'l Airport/Hawthorne,302,8.2,2 queen beds
LAR,Four Points by Sheraton Los Angeles International Airport,219,6.0,2 queen beds
LAR,Hyatt Place LAX/Century BLVD,313,8.1,2 queen beds
LAR,Maison 140 Beverly Hills,338,7.0,1 queen bed
LAR,Jolly Roger Hotel,250,7.5,1 queen bed
LAR,Comfort Inn Los Angeles near Hollywood,295,7.3,2 queen beds
LAR,Hollywood Inn Suites Hotel,225,7.9,Private suite2 queen beds
LAR,La Quinta by Wyndham LAX,238,6.6,2 queen beds
LAR,Hampton Inn Los Angeles Airport,300,7.3,2 queen beds
LAR,"Holiday Inn Los Angeles - LAX Airport, an IHG Hotel",317,7.5,2 queen beds
LAR,Hotel Koxie,264,7.2,2 queen beds
LAR,Tuscan Garden Inn,300,7.5,2 queen beds
LAR,"Holiday Inn Express Hollywood Walk of Fame, an IHG Hotel",546,8.3,1 queen bed
LAR,Bayside Hotel,547,8.0,1 queen bed
LAR,Hotel H-Wood,229,6.0,1 queen bed
LAR,"Holiday Inn Express Los Angeles LAX Airport, an IHG Hotel",345,8.4,1 queen bed
LAR,The Live Hotel,370,7.6,2 queen beds
LAR,Century Park Hotel LA,385,7.8,1 queen bed
LAR,Fenix Hotel Hollywood,468,8.0,Entire studio•1 bathroom•237 ft²1 queen bed
LAR,Comfort Inn & Suites Near Universal - N Hollywood - Burbank,436,8.2,2 queen beds
LAR,"Burton House, Beverly Hills, A Tribute Portfolio Hotel",513,8.0,"2 beds (1 sofa bed, 1 queen)"
LAR,Hyatt Regency Los Angeles International Airport,345,8.1,1 queen bed
LAR,Kawada Hotel,305,7.4,1 queen bed
LAR,Gateway Hotel Santa Monica,437,8.1,2 queen beds
SEA,"Holiday Inn Seattle DWTN Lake Union, an IHG Hotel",186,7.8,1 queen bed
SEA,"Staybridge Suites Seattle - South Lake Union, an IHG Hotel",224,8.4,"Private suite3 beds (1 sofa bed, 2 queens)"
SEA,Silver Cloud Hotel - Seattle Lake Union,288,8.6,2 queen beds
SEA,Palihotel Seattle,282,8.4,1 queen bed
SEA,Executive Hotel Pacific,190,6.6,1 queen bed
SEA,Homewood Suites by Hilton Seattle Downtown,265,8.4,Private suite2 queen beds
SEA,The Mediterranean Inn,310,8.6,1 queen bed
SEA,La Quinta by Wyndham Seattle Downtown,245,8.1,"2 beds (1 sofa bed, 1 queen)"
SEA,Residence Inn by Marriott Seattle Downtown Convention Center,323,8.5,"Entire studio•1 bathroom•1 kitchen•463 ft²3 beds (1 sofa bed, 2 queens)"
SEA,Hampton Inn & Suites by Hilton Seattle/Northgate,280,8.3,2 queen beds
SEA,Hampton Inn & Suites Seattle-Downtown,280,8.2,2 queen beds
SEA,Belltown Inn,220,8.3,1 queen bed
SEA,Hyatt Place Seattle Downtown,295,8.0,"3 beds (1 sofa bed, 2 queens)"
SEA,"SpringHill Suites Seattle Downtown, South Lake Union",308,8.4,"Private suite•1 bedroom•1 living room•1 bathroom•420 ft²3 beds (1 sofa bed, 2 queens)"
SEA,"Staypineapple, The Maxwell Hotel, Seattle Center Seattle",304,9.1,2 queen beds
SEA,Courtyard by Marriott Seattle SeaTac Airport,202,8.1,2 queen beds
SEA,Residence Inn by Marriott Seattle Downtown/Lake Union,508,8.2,"Private suite•2 bedrooms•1 living room•2 bathrooms•775 ft²4 beds (1 king, 1 sofa bed, 2 queens)"
SEA,Residence Inn by Marriott Seattle University District,408,8.9,"Private suite3 beds (1 sofa bed, 2 queens)"
SEA,"Staypineapple, Hotel FIVE, Downtown Seattle",258,8.5,1 queen bed
SEA,Hotel Max,269,7.7,1 queen bed
SEA,Best Western Plus Pioneer Square Hotel Downtown,209,8.3,1 queen bed
SEA,"Staypineapple, Watertown, University District Seattle",320,8.8,2 queen beds
SEA,"Staypineapple, University Inn, University District Seattle",264,8.5,1 queen bed
SEA,Sonder at Pivot,272,8.6,"2 beds (1 sofa bed, 1 queen)"
SEA,Ace Hotel Seattle,374,8.7,1 queen bed
ARI,Aloft Glendale at Westgate,208,8.2,1 queen bed
ARI,Tru By Hilton Phoenix Glendale Westgate,228,9.0,2 queen beds
ARI,Home2 Suites By Hilton Glendale Westgate,219,8.9,1 queen bed
ARI,Hampton Inn & Suites Phoenix Glendale-Westgate,258,8.8,2 queen beds
ARI,"Staybridge Suites Phoenix Glendale Sports Dist, an IHG Hotel",263,9.0,Private suite1 queen bed
ARI,SpringHill Suites Phoenix Glendale Sports & Entertainment District,262,8.7,"Private suite3 beds (1 sofa bed, 2 queens)"
ARI,Comfort Suites Glendale - State Farm Stadium Area,245,8.5,"Private suite3 beds (1 sofa bed, 2 queens)"
ARI,TownePlace Suites by Marriott Phoenix Glendale Sports & Entertainment District,185,9.1,2 queen beds
ARI,"Holiday Inn Express & Suites Phoenix Glendale Dist, an IHG Hotel",283,8.7,2 queen beds
SF,Quality Inn & Suites Silicon Valley,169,6.2,1 queen bed
SF,"Holiday Inn Express & Suites Santa Clara, an IHG Hotel",284,8.5,1 queen bed
